2024-11-22 17:58:27,382 [MainThread] Start time: 2024-11-22 17:58:27
2024-11-22 17:58:43,526 [Thread-1 (worker)] Thread finished part_index 0, Found 29083 'French'
2024-11-22 17:58:43,987 [Thread-2 (worker)] Thread finished part_index 1, Found 14531 'French'
2024-11-22 17:58:44,927 [Thread-3 (worker)] Thread finished part_index 2, Found 28787 'French'
2024-11-22 17:58:45,389 [Thread-4 (worker)] Thread finished part_index 3, Found 14431 'French'
2024-11-22 17:58:46,329 [Thread-5 (worker)] Thread finished part_index 4, Found 28967 'French'
2024-11-22 17:58:46,795 [Thread-6 (worker)] Thread finished part_index 5, Found 14475 'French'
2024-11-22 17:58:47,733 [Thread-7 (worker)] Thread finished part_index 6, Found 28893 'French'
2024-11-22 17:58:48,196 [Thread-8 (worker)] Thread finished part_index 7, Found 14586 'French'
2024-11-22 17:58:49,141 [Thread-9 (worker)] Thread finished part_index 8, Found 29043 'French'
2024-11-22 17:58:49,610 [Thread-10 (worker)] Thread finished part_index 9, Found 14257 'French'
2024-11-22 17:58:50,559 [Thread-11 (worker)] Thread finished part_index 10, Found 29007 'French'
2024-11-22 17:58:51,057 [Thread-12 (worker)] Thread finished part_index 11, Found 14536 'French'
2024-11-22 17:58:52,020 [Thread-13 (worker)] Thread finished part_index 12, Found 28894 'French'
2024-11-22 17:58:52,496 [Thread-14 (worker)] Thread finished part_index 13, Found 14349 'French'
2024-11-22 17:58:53,442 [Thread-15 (worker)] Thread finished part_index 14, Found 28808 'French'
2024-11-22 17:58:53,918 [Thread-16 (worker)] Thread finished part_index 15, Found 14329 'French'
2024-11-22 17:58:54,946 [Thread-1 (worker)] Thread finished part_index 16, Found 28580 'French'
2024-11-22 17:58:55,527 [Thread-2 (worker)] Thread finished part_index 17, Found 14425 'French'
2024-11-22 17:58:56,541 [Thread-3 (worker)] Thread finished part_index 18, Found 28987 'French'
2024-11-22 17:58:57,037 [Thread-4 (worker)] Thread finished part_index 19, Found 14144 'French'
2024-11-22 17:58:58,041 [Thread-5 (worker)] Thread finished part_index 20, Found 28882 'French'
2024-11-22 17:58:58,524 [Thread-6 (worker)] Thread finished part_index 21, Found 14422 'French'
2024-11-22 17:58:59,536 [Thread-7 (worker)] Thread finished part_index 22, Found 28908 'French'
2024-11-22 17:59:00,030 [Thread-8 (worker)] Thread finished part_index 23, Found 14470 'French'
2024-11-22 17:59:01,074 [Thread-9 (worker)] Thread finished part_index 24, Found 28732 'French'
2024-11-22 17:59:01,555 [Thread-10 (worker)] Thread finished part_index 25, Found 14403 'French'
2024-11-22 17:59:02,560 [Thread-11 (worker)] Thread finished part_index 26, Found 28820 'French'
2024-11-22 17:59:03,060 [Thread-12 (worker)] Thread finished part_index 27, Found 14374 'French'
2024-11-22 17:59:04,081 [Thread-13 (worker)] Thread finished part_index 28, Found 28820 'French'
2024-11-22 17:59:04,562 [Thread-14 (worker)] Thread finished part_index 29, Found 14388 'French'
2024-11-22 17:59:05,573 [Thread-15 (worker)] Thread finished part_index 30, Found 28937 'French'
2024-11-22 17:59:06,082 [Thread-16 (worker)] Thread finished part_index 31, Found 14660 'French'
2024-11-22 17:59:07,064 [Thread-1 (worker)] Thread finished part_index 32, Found 29060 'French'
2024-11-22 17:59:07,548 [Thread-2 (worker)] Thread finished part_index 33, Found 14319 'French'
2024-11-22 17:59:08,550 [Thread-3 (worker)] Thread finished part_index 34, Found 28796 'French'
2024-11-22 17:59:09,044 [Thread-4 (worker)] Thread finished part_index 35, Found 14447 'French'
2024-11-22 17:59:10,057 [Thread-5 (worker)] Thread finished part_index 36, Found 29067 'French'
2024-11-22 17:59:10,532 [Thread-6 (worker)] Thread finished part_index 37, Found 14418 'French'
2024-11-22 17:59:11,518 [Thread-7 (worker)] Thread finished part_index 38, Found 29091 'French'
2024-11-22 17:59:12,013 [Thread-8 (worker)] Thread finished part_index 39, Found 14384 'French'
2024-11-22 17:59:13,016 [Thread-9 (worker)] Thread finished part_index 40, Found 28846 'French'
2024-11-22 17:59:13,490 [Thread-10 (worker)] Thread finished part_index 41, Found 14379 'French'
2024-11-22 17:59:14,465 [Thread-11 (worker)] Thread finished part_index 42, Found 28846 'French'
2024-11-22 17:59:14,967 [Thread-12 (worker)] Thread finished part_index 43, Found 14359 'French'
2024-11-22 17:59:15,947 [Thread-13 (worker)] Thread finished part_index 44, Found 28778 'French'
2024-11-22 17:59:16,420 [Thread-14 (worker)] Thread finished part_index 45, Found 14557 'French'
2024-11-22 17:59:17,405 [Thread-15 (worker)] Thread finished part_index 46, Found 29154 'French'
2024-11-22 17:59:17,906 [Thread-16 (worker)] Thread finished part_index 47, Found 14444 'French'
2024-11-22 17:59:18,877 [Thread-1 (worker)] Thread finished part_index 48, Found 28665 'French'
2024-11-22 17:59:19,380 [Thread-2 (worker)] Thread finished part_index 49, Found 14185 'French'
2024-11-22 17:59:20,359 [Thread-3 (worker)] Thread finished part_index 50, Found 29126 'French'
2024-11-22 17:59:20,846 [Thread-4 (worker)] Thread finished part_index 51, Found 14357 'French'
2024-11-22 17:59:21,816 [Thread-5 (worker)] Thread finished part_index 52, Found 28940 'French'
2024-11-22 17:59:26,575 [Thread-6 (worker)] Thread finished part_index 53, Found 0 'French'
2024-11-22 17:59:39,986 [Thread-7 (worker)] Thread finished part_index 54, Found 0 'French'
2024-11-22 17:59:46,664 [Thread-8 (worker)] Thread finished part_index 55, Found 0 'French'
2024-11-22 18:00:00,212 [Thread-9 (worker)] Thread finished part_index 56, Found 0 'French'
2024-11-22 18:00:06,944 [Thread-10 (worker)] Thread finished part_index 57, Found 0 'French'
2024-11-22 18:00:20,289 [Thread-11 (worker)] Thread finished part_index 58, Found 0 'French'
2024-11-22 18:00:26,992 [Thread-12 (worker)] Thread finished part_index 59, Found 0 'French'
